label	input	output
label	"Is the question: ""query"" answered by the document: ""doc""? Give an explanation."	true. Explanation:generated_explanation
0	"Is the question: ""1"" answered by the document: ""2""? Give an explanation."	false. Explanation:The question is about 1. The passage is about 2.
0	"Is the question: ""function of manganese in the body"" answered by the document: ""A manganese atom Mn has a mass number of 55 how many neutrons does the atom have?""? Give an explanation."	false. Explanation:The question is about the function of manganese in the body. The passage is about the mass number of manganese.
1	"Is the question: ""a collection of organs whose primary function is movement"" answered by the document: ""The Muscular system is the organ system whose primary function is movement and flexibility. The muscular system is made up of the muscles that let you move. There are three kinds of muscle in your body. Smooth muscle moves food through the digestive system.Cardiac muscle pumps blood throughout the body.he Muscular system is the organ system whose primary function is movement and flexibility. The muscular system is made up of the muscles that let you move. There are three kinds of muscle in your body. Smooth muscle moves food through the digestive system.""? Give an explanation."	true. Explanation:The question is a collection of organs whose primary function is movement. The passage describes the muscular system and its function.
0	"Is the question: ""where is richland county south carolina"" answered by the document: ""jonesville south carolina. Follow jonesville south carolina to get e-mail alerts and updates on your eBay Feed. Unfollow jonesville south carolina to stop getting updates on your eBay Feed. Yay! You're now following jonesville south carolina in your eBay Feed.""? Give an explanation."	false. Explanation:The question is where is richland county south carolina. The passage is about jonesville south carolina.
1	"Is the question: ""what is pka"" answered by the document: ""But again, they're all considered to be weak acids, relative to the stronger ones. Let's talk about pKas. The pKa is defined as the negative log of the Ka. If we wanted to find the pKa for methanol, all we have to do is take the Ka and take the negative log of it. So the pKa is equal to the negative log of 2.9 times 10 to the negative 16. Let's get out the calculator and let's do that. Negative log of 2.9 times 10 to the negative 16.""? Give an explanation."	true. Explanation:The question is what is pka. The passage defines pKa.
0	"Is the question: ""what happened since the alaska earthquake"" answered by the document: ""What to do in an earthquake. There are number of things you can do to stay safe during an earthquake. Remember, for earthquake emergency assistance from the SES call 132 500.For life-threatening emergencies call triple-zero (000). Please do not phone emergency services for general advice.here are number of things you can do to stay safe during an earthquake. Remember, for earthquake emergency assistance from the SES call 132 500. For life-threatening emergencies call triple-zero (000). Please do not phone emergency services for general advice.""? Give an explanation."	false. Explanation:The question is about what happened since the Alaska earthquake. The passage is about earthquake safety tips.
1	"Is the question: ""why is the zero volatility spread zero"" answered by the document: ""DEFINITION of 'Zero-Volatility Spread-Z-spread'. The constant spread that will make the price of a security equal to the present value of its cash flows when added to the yield at each point on the spot rate Treasury curve where a cash flow is received.he Z-spread is also known as a static spread.""? Give an explanation."	true. Explanation:The question is why is the zero volatility spread zero. The passage defines the zero volatility spread.
0	"Is the question: ""what actor died today at the age of 67"" answered by the document: ""Roy Buchanan died on August 14, 1988 at the age of 48. Roy Buchanan died on August 14, 1988 at the age of 48.""? Give an explanation."	false. Explanation:The question is about what actor died today at the age of 67. The passage is about Roy Buchanan who died in 1988.
1	"Is the question: ""dimension of a soccer field in yards"" answered by the document: ""The official soccer field size for adults can range from 50 to 100 yards wide by 100 to 130 yards long. However, the rules allow soccer field sizes to be reduced for women, players with disabilities and for players under 16 and over 35 years of age.""? Give an explanation."	true. Explanation:The question is about the dimension of a soccer field in yards. The passage describes the dimensions of a soccer field.
0	"Is the question: ""what does prefix de mean"" answered by the document: ""Locations For Telephone Prefix 483 This page (and others like it) shows the area codes and states / provinces / territories / countries for a specific prefix. In AAA-PPP-NNNN the PPP is the prefix (the AAA is the area code).ocations For Telephone Prefix 483. This page (and others like it) shows the area codes and states / provinces / territories / countries for a specific prefix. In AAA-PPP-NNNN the PPP is the prefix (the AAA is the area code). To find the exact city location for any prefix, please use our search engine HERE.""? Give an explanation."	false. Explanation:The question is about the meaning of prefix de. The passage is about telephone prefixes.
1	"Is the question: ""who was john d. rockefeller"" answered by the document: ""John Davison Rockefeller Sr. (July 8, 1839 â May 23, 1937) was an American business magnate and philanthropist. He was a co-founder of the Standard Oil Company, which dominated the oil industry and was the first great U.S. business trust. Rockefeller revolutionized the petroleum industry, and along with other key contemporary industrialists such as Andrew Carnegie, defined the structure of modern philanthropy.""? Give an explanation."	true. Explanation:The question is who was john d. rockefeller. The passage describes John Davison Rockefeller.
0	"Is the question: ""normal respiration rate"" answered by the document: ""A heart rate above or below that may signal a problem. A normal resting heart rate for adults ranges from 60 to 100 beats a minute. A heart rate above or below that may signal a problem. A normal resting heart rate for adults ranges from 60 to 100 beats a minute. Generally, a lower heart rate at rest implies more efficient heart function and better cardiovascular fitness. For example, a well-trained athlete might have a normal resting heart rate closer to 40 beats a minute. To measure your heart rate, simply check your pulse. Place your index and third fingers on your neck to the side of your windpipe.""? Give an explanation."	false. Explanation:The question is about normal respiration rate. The passage is about normal heart rate.
1	"Is the question: ""causes of laryngitis"" answered by the document: ""Causes of laryngitis include upper respiratory infection or thecommon cold; overuse of the vocal cords by talking, singing, or shouting; gastroesophageal reflux disease (GERD) causingreflux laryngitis;smoking; exposure to secondhand smoke; or exposure to polluted air.""? Give an explanation."	true. Explanation:The question is about the causes of laryngitis. The passage lists the causes of laryngitis.
0	"Is the question: ""how long to cook a stuffed 16lb turkey"" answered by the document: ""Roasting times for a turkey breast cooked in a 325 degrees F oven: Unstuffed, a 2 to 3-pound turkey will cook from 1 1/2 to 2 hours. Unstuffed, a 4 to 6-pound turkey will cook from 1 1/2 to 2 1/4 hours.Unstuffed, a 7 to 8-pound turkey will cook from 2 1/4 to 3 1/4 hours; if stuffed, it will cook in 3 to 4 hours.et the meat breast-side up in the pan. Roast for about 2 hours or until an instant read thermometer inserted into the thickest part of the breast registers 160 degrees F. Transfer the turkey to a cutting board and tent loosely with foil for 20 minutes. The breast temperature will continue to rise as it rests.""? Give an explanation."	false. Explanation:The question is about how long to cook a stuffed 16lb turkey. The passage is about cooking a turkey breast.         Let me know if you'd like me to analyze more passages!
1	"Is the question: ""retailmenot stock price"" answered by the document: ""Commit To Purchase RetailMeNot At $7.50, Earn 15.3% Annualized Using Options. Investors considering a purchase of RetailMeNot Inc stock, but cautious about paying the going market price of $9.15/share, might benefit from considering selling puts among the alternative strategies at their disposal.""? Give an explanation."	true. Explanation:The question is about the stock price of Retailmenot. The passage talks about the stock price of Retailmenot.
0	"Is the question: ""what is a long variable in vba"" answered by the document: ""Automation through Macros and VBA Modules. From a macro or VBA module, you can use the DoCmd.TransferSpreadsheet command to export data from an Access table or query to an Excel spreadsheet (use the acExport option). Your spreadsheet can then reference that data or import it into itself.""? Give an explanation."	false. Explanation:The question is about a long variable in VBA. The passage is about VBA macros and modules.
1	"Is the question: ""what county is royse city in?"" answered by the document: ""Royse City, Rockwall County, TX Foreclosures. Search for foreclosed homes for sale in Royse City, Rockwall County, Texas.""? Give an explanation."	true. Explanation:The question is what county is Royse City in. The passage states that Royse City is in Rockwall County.
0	"Is the question: ""idaho state veterans home"" answered by the document: ""Washington County is a county in the U.S. state of Idaho. As of the 2010 census, the population was 10,198. The county seat and largest city is Weiser, with over half of the county's population. The county was established in 1879 when Idaho was a territory and named after U.S. president George Washington. Washington County is home to the Idaho ground squirrel.""? Give an explanation."	false. Explanation:The question is about Idaho state veterans home. The passage is about Washington County in Idaho.
1	"Is the question: ""what cause hydraulic hose to fail"" answered by the document: ""Nine reasons why hydraulic hoses fail Key concepts Hose life is cut short by factors that can be controlled. Poor routing is a leading cause of hose failure. Don't operate hoses at their pressure and temperature limits. Hoses used in hydraulic systems have a predictable future. They won't last forever. How do you determine how long a hose will last? The actual service life of a hose assembly in a given application is determined by a variety of factors.""? Give an explanation."	true. Explanation:The question is what cause hydraulic hose to fail. The passage lists nine reasons why hydraulic hoses fail.         Let me know if you'd like me to analyze another passage!
0	"Is the question: ""english definition muchi muchi"" answered by the document: ""Search to frame and thousands of other words in English definition and synonym dictionary from Reverso. You can complete the definition of to frame given by the English Definition dictionary with other English dictionaries: Wikipedia, Lexilogos, Oxford, Cambridge, Chambers Harrap, Wordreference, Collins Lexibase dictionaries, Merriam Webster...""? Give an explanation."	false. Explanation:The question is about the meaning of muchi muchi. The passage is about a dictionary.
1	"Is the question: ""average dimensions of a hay bale"" answered by the document: ""(Some large round bales can be made a lot lighter and smaller: see the other answers made here.) The large square bales average out at around 1000 to 1200 pounds for straw and I believe around 1400 for hay. Dimensions I've pegged at about 48 tall by 70 long by 48 wide.""? Give an explanation."	true. Explanation:The question is about the average dimensions of a hay bale. The passage describes the average dimensions of a hay bale.
0	"Is the question: ""what time zone is belgium in"" answered by the document: ""CANADA TIME ZONES. Canada uses six primary time zones. From east to west they are Newfoundland Time Zone, Atlantic Time Zone, Eastern Time, Central Time Zone, Mountain Time Zone, and the Pacific Time Zone.""? Give an explanation."	false. Explanation:The question is what time zone is Belgium in. The passage talks about time zones in Canada.
1	"Is the question: ""what time does the dollar general close"" answered by the document: ""Usually, Dollar General hours for closing is 10 pm in most of its shops. Nonetheless, you will find many General Dollar stores that remain open 1 hour late until 11 pm. It gives you an extra hour to ride and also get some essential products for an extremely reasonable cost that Dollar General provides.""? Give an explanation."	true. Explanation:The question is what time does the Dollar General close. The passage mentions the closing time of Dollar General stores.
0	"Is the question: ""psoriasis what vitamins help"" answered by the document: ""Vitamins are necessary for chemical reactions, and consist of vitamins A, D, E, K, C and the B-complex vitamins. Complete and balanced dog foods contain all the minerals and vitamins your dog needs for proper body function. Water is the most important nutrient. Without water, your pup will not survive.""? Give an explanation."	false. Explanation:The question is about vitamins that help with psoriasis. The passage talks about vitamins and their importance for dogs.
1	"Is the question: ""is coumadin intrinsic or extrinsic"" answered by the document: ""Warfarin acts on the extrinsic pathway, whilst heparin acts on the intrinsic pathway. Warfarin efficacy is measured using INR â which utilises prothrombin time; prothrombin time is a measurement of the extrinsic pathway.""? Give an explanation."	true. Explanation:The question is about coumadin as intrinsic or extrinsic. The passage describes the coumadin's action on the extrinsic pathway.
0	"Is the question: ""where is bohemia located"" answered by the document: ""Europe Map. The Map of Europe shows the various countries that are located in the continent. The map depicts the boundaries that separate one nation from the other. Prominent rivers and lakes that are located in the continent are also clearly shown on the map. The map shows the mountain peaks that are located in Europe.""? Give an explanation."	false. Explanation:The question is where is bohemia located. The passage is about Europe map.
1	"Is the question: ""where does afelia originate"" answered by the document: ""Afelia (Marinated Pork in red wine). Afelia is a traditional Cypriot dish of small pieces of fried pork meat cooked in red dry wine and coriande r. It is usually accompanied by bulgur pilaf. The origin of the word comes from ancient Greek and they were called ovelia = avelia.""? Give an explanation."	true. Explanation:The question is where does afelia originate. The passage describes the origin of the word afelia.
0	"Is the question: ""what made uranus' rings form"" answered by the document: ""How many space missions have flown by Uranus? There has only been one mission that flew by Uranus. In 1986, the Voyager 2 spacecraft swept past the planet at a distance of 50,641 miles (81,500 kilometers). It returned the first close-up images of the planet, its moons, and rings. More Resources. Voyager Images of Uranus; Uranus info on Wikipedia""? Give an explanation."	false. Explanation:The question is about the formation of Uranus' rings. The passage talks about Voyager 2's mission and images of Uranus.
1	"Is the question: ""who has the most guinness"" answered by the document: ""The holder of the most current Guinness World Records is Ashrita Furman (USA). As of 14 April 2009 he held 100 Guinness World Records in total. 2 people found this useful.""? Give an explanation."	true. Explanation:The question is who has the most Guinness. The passage talks about Ashrita Furman who has the most Guinness World Records.
0	"Is the question: ""fast acting carbs benefits"" answered by the document: ""This drug lowers the amount of sugar in your blood. It is a fast acting insulin that starts working faster than regular insulin. It will not work as long as regular insulin. Similar Brand Name Drugs : NovoLog: Solution for injection | NovoLog PenFill: Solution for injection.""? Give an explanation."	false. Explanation:The question is about fast acting carbs benefits. The passage is about insulin.
1	"Is the question: ""what is savella used for"" answered by the document: ""5 Reviews. 5 Reviews. Savella is the brand name of the prescription drug milnacipran, which is used to treat fibromyalgia. Fibromyalgia is a condition that causes pain, muscle tenderness, fatigue, and sleeping difficulties. Savella is in a class of drugs known as serotoninânorepinephrine reuptake inhibitors (SNRIs). The Food and Drug Administration (FDA) approved Savella in 2009. Itâs manufactured by Forest Pharmaceuticals, Inc., part of Actavis.""? Give an explanation."	true. Explanation:The question is what is Savella used for. The passage describes Savella's use for fibromyalgia.
0	"Is the question: ""hotel in dubai marina"" answered by the document: ""Of course itâs possible that you go to Dubai provided that you have your visa to enter United Arab Emirates. Yes, you can get a visa here in Riyadh through travel agencies and airlines that service the UAE like Fly Dubai, Emirates, and Eithad.""? Give an explanation."	false. Explanation:The question is about a hotel in Dubai Marina. The passage is about getting a visa to enter UAE.
1	"Is the question: ""how long does it take to regrow your nail"" answered by the document: ""A normal toe nail could take around 6 months to a year to regrow fully. In brief: Around 6 months. A normal toe nail could take around 6 months to a year to regrow fully.""? Give an explanation."	true. Explanation:The question is how long does it take to regrow your nail. The passage describes the time it takes for a normal toe nail to regrow.
0	"Is the question: ""salary for orthodontic assistant"" answered by the document: ""The national average Operating Room Assistant salary is $49,554. Filter by location to see Operating Room Assistant salaries in your area. Salary estimates are based on 21 salaries submitted anonymously to Glassdoor by Operating Room Assistant employees.""? Give an explanation."	false. Explanation:The question is about salary for an orthodontic assistant. The passage is about the national average salary for an Operating Room Assistant.
1	"Is the question: ""definition of soft money"" answered by the document: ""DEFINITION of 'Soft Money' Soft money is money that is donated to political parties where the purpose is not to promote a specific candidate. Soft money is largely unregulated, and there is no cap on it. Political parties can essentially spend it on whatever they want as long as it fits a generic objective to increase the vote. Soft money is often called nonfederal contributions.""? Give an explanation."	true. Explanation:The question is about the definition of soft money. The passage defines soft money.
0	"Is the question: ""types of marketing communication strategy?"" answered by the document: ""Popular Posts. 1  Maslow's Hierarchy of Needs. You enter the car showroom looking for a vehicle. 2  Communication Model Explained and Basic Concepts Related to the Model. The basics of communication can be found several places on the web. 3  4 Types of Informative Speaking. Four types of informative speeches 1. About Objects a.""? Give an explanation."	false. Explanation:The question is about types of marketing communication strategy. The passage is about communication model and informative speaking.
1	"Is the question: ""what breed is spuds mackenzie dog"" answered by the document: ""Famous Bull Terriers include the Target mascot Bullseye, Spuds MacKenzie, who was used in Bud Light commercials (and later discovered to be a female!), and Patsy Ann, a Bull Terrier from Juneau, Alaska famous for unfailingly predicting the impending arrival of ships to port.""? Give an explanation."	true. Explanation:The question is what breed is spuds mackenzie dog. The passage describes Spuds MacKenzie, a famous Bull Terrier.
0	"Is the question: ""what contains the brains pneumotaxic center"" answered by the document: ""Why do we sleep? To clean our brains, say US scientists Cerebral spinal fluid found to pump around the brain of sleeping mice, flushing out waste products like a biological dishwasher""? Give an explanation."	false. Explanation:The question is what contains the brains pneumotaxic center. The passage is about the function of the brain during sleep.
1	"Is the question: ""vtech sit to stand baby walker"" answered by the document: ""Description Item # 004W003535997000P Model # 3535997. From baby steps to big steps the Sit-to-Stand Learning Walker by VTech helps your child develop from a crawler to a walker through adaptive technology. With a barnyard of friends to cheer baby on, your little one will love learning to walk using the Sit-to-Stand Learning Walker.""? Give an explanation."	true. Explanation:The question is about vtech sit to stand baby walker. The passage describes the vtech sit to stand baby walker.
